date,series_id,value
2012-02-08,OIL_BRENT,117.18
2012-02-09,OIL_BRENT,118.4
2012-02-10,OIL_BRENT,118.13
2012-02-13,OIL_BRENT,118.73
2012-02-14,OIL_BRENT,118.3
2012-02-15,OIL_BRENT,120.25
2012-02-16,OIL_BRENT,121.0
2012-02-17,OIL_BRENT,120.69
2012-02-21,OIL_BRENT,120.85
2012-02-22,OIL_BRENT,123.07
2012-02-23,OIL_BRENT,124.53
2012-02-24,OIL_BRENT,124.89
2012-02-27,OIL_BRENT,126.46
2012-02-28,OIL_BRENT,124.02
2012-02-29,OIL_BRENT,122.23
2012-03-01,OIL_BRENT,125.76
2012-03-02,OIL_BRENT,125.93
2012-03-05,OIL_BRENT,126.68
2012-03-06,OIL_BRENT,125.03
2012-03-07,OIL_BRENT,125.37
2012-03-08,OIL_BRENT,127.96
2012-03-09,OIL_BRENT,128.08
2012-03-12,OIL_BRENT,127.27
2012-03-13,OIL_BRENT,128.14
2012-03-14,OIL_BRENT,126.98
2012-03-15,OIL_BRENT,123.63
2012-03-16,OIL_BRENT,125.09
2012-03-19,OIL_BRENT,125.76
2012-03-20,OIL_BRENT,124.38
2012-03-21,OIL_BRENT,123.89
2012-03-22,OIL_BRENT,122.49
2012-03-23,OIL_BRENT,125.21
2012-03-26,OIL_BRENT,125.85
2012-03-27,OIL_BRENT,125.25
2012-03-28,OIL_BRENT,124.41
2012-03-29,OIL_BRENT,123.23
2012-03-30,OIL_BRENT,123.41
2012-04-02,OIL_BRENT,124.44
2012-04-04,OIL_BRENT,123.04
2012-04-05,OIL_BRENT,123.58
2012-04-10,OIL_BRENT,121.89
2012-04-11,OIL_BRENT,120.41
2012-04-12,OIL_BRENT,120.57
2012-04-13,OIL_BRENT,120.62
2012-04-16,OIL_BRENT,118.23
2012-04-17,OIL_BRENT,117.41
2012-04-18,OIL_BRENT,115.18
2012-04-19,OIL_BRENT,117.0
2012-04-20,OIL_BRENT,118.08
2012-04-23,OIL_BRENT,116.66
2012-04-24,OIL_BRENT,117.74
2012-04-25,OIL_BRENT,117.45
2012-04-26,OIL_BRENT,119.33
2012-04-27,OIL_BRENT,119.3
2012-04-30,OIL_BRENT,118.66
2012-05-01,OIL_BRENT,119.57
2012-05-02,OIL_BRENT,117.57
2012-05-03,OIL_BRENT,115.91
2012-05-04,OIL_BRENT,111.66
2012-05-08,OIL_BRENT,110.48
2012-05-09,OIL_BRENT,111.89
2012-05-10,OIL_BRENT,112.24
2012-05-11,OIL_BRENT,112.5
2012-05-14,OIL_BRENT,110.79
2012-05-15,OIL_BRENT,111.4
2012-05-16,OIL_BRENT,109.8
2012-05-17,OIL_BRENT,109.31
2012-05-18,OIL_BRENT,108.03
2012-05-21,OIL_BRENT,109.02
2012-05-22,OIL_BRENT,109.76
2012-05-23,OIL_BRENT,106.88
2012-05-24,OIL_BRENT,107.2
2012-05-25,OIL_BRENT,107.86
2012-05-29,OIL_BRENT,107.55
2012-05-30,OIL_BRENT,103.85
2012-05-31,OIL_BRENT,103.86
2012-06-01,OIL_BRENT,98.63
2012-06-04,OIL_BRENT,97.74
2012-06-05,OIL_BRENT,98.65
2012-06-06,OIL_BRENT,101.14
2012-06-07,OIL_BRENT,100.05
2012-06-08,OIL_BRENT,97.57
2012-06-11,OIL_BRENT,98.6
2012-06-12,OIL_BRENT,96.59
2012-06-13,OIL_BRENT,97.29
2012-06-14,OIL_BRENT,96.46
2012-06-15,OIL_BRENT,97.13
2012-06-18,OIL_BRENT,95.21
2012-06-19,OIL_BRENT,95.14
